smk_preg_2_denom_2012_14, brstfed_3_mon_1_count_2014_15, brstfed_6_mon_1_count_2014_15, ste_name, brstfed_6_mon_2_denom_2014_15, brstfed_3_mon_2_denom_2014_15, solids_4_mon_3_percent_2014_15, smk_preg_3_percent_2012_14, solids_4_mon_1_count_2014_15, solids_4_mon_2_denom_2014_15, smk_preg_1_count_2012_14, solids_4_mon_4_rrmse_2014_15, brstfed_3_mon_4_rrmse_2014_15, lga_code, lga_name, brstfed_6_mon_3_percent_2014_15, low_bweigt_1_count_2012_14, brstfed_3_mon_3_percent_2014_15, low_bweigt_2_denom_2012_14, brstfed_6_mon_4_rrmse_2014_15, low_bweigt_3_percent_2012_14
1159,485,155,"vic",667,755,6.5,23.7,112,1713,275,3,3,25150,"Moorabool (S)",23.3,80,64.3,1181,3,6.8
7445,2744,924,"vic",3886,4395,6.0,9.2,524,8658,687,3,3,25250,"Moreland (C)",23.8,445,62.4,7543,3,5.9
5206,2172,804,"vic",3079,3483,5.8,4.7,425,7287,244,3,3,22310,"Glen Eira (C)",26.1,305,62.4,5261,3,5.8
552,220,58,"vic",315,356,6.9,22.3,56,811,123,1,3,22410,"Glenelg (S)",18.5,35,61.9,558,3,6.3
731,315,106,"vic",412,466,6.2,38.6,69,1114,283,1,3,22490,"Golden Plains (S)",25.7,48,67.6,740,3,6.5
4622,1796,531,"vic",2572,2909,6.5,17.5,409,6265,808,3,3,25340,"Mornington Peninsula (S)",20.6,259,61.7,4670,3,5.5
452,185,62,"vic",276,313,6.6,25.2,48,728,114,1,3,25430,"Mount Alexander (S)",22.4,27,59.1,461,3,5.8
536,211,68,"vic",291,330,6.4,16.2,53,819,87,1,3,25490,"Moyne (S)",23.5,35,64.1,541,3,6.4
430,167,59,"vic",238,270,6.6,16.4,40,608,71,1,3,25620,"Murrindindi (S)",24.9,24,62.1,433,3,5.6
1788,734,219,"vic",994,1124,5.9,3.8,144,2439,68,3,3,25710,"Nillumbik (S)",22.0,103,65.3,1817,3,5.7
347,106,40,"vic",162,183,7.2,34.5,31,437,119,1,1,25810,"Northern Grampians (S)",24.6,21,58.0,348,3,6.2
4034,1303,629,"vic",1997,2259,6.0,7.0,253,4244,281,3,3,25900,"Port Phillip (C)",31.5,231,57.7,4081,3,5.7
198,61,32,"vic",105,118,7.2,34.3,20,279,68,1,1,25990,"Pyrenees (S)",30.9,11,51.3,199,3,5.4
98,53,15,"vic",70,79,6.2,36.9,11,183,36,2,1,26080,"Queenscliffe (B)",21.7,5,66.6,99,1,4.9
922,322,97,"vic",488,552,6.9,18.1,89,1289,166,1,3,26170,"South Gippsland (S)",19.9,58,58.3,932,3,6.3
537,189,69,"vic",263,298,6.3,20.1,44,700,108,1,3,26260,"Southern Grampians (S)",26.1,22,63.5,541,3,4.0
3126,1187,531,"vic",1746,1974,5.9,5.7,228,3855,179,3,3,26350,"Stonnington (C)",30.4,184,60.1,3166,3,5.8
251,101,28,"vic",137,154,6.9,22.2,25,356,56,1,3,26430,"Strathbogie (S)",20.7,13,65.3,251,1,5.0
1039,452,95,"vic",604,683,6.2,40.0,106,1709,416,3,3,26490,"Surf Coast (S)",15.7,59,66.1,1054,3,5.6
919,277,83,"vic",436,493,7.0,22.2,80,1140,204,3,3,26610,"Swan Hill (RC)",19.0,56,56.2,928,3,6.0
152,55,17,"vic",75,85,6.4,12.2,13,204,19,1,1,26670,"Towong (S)",22.5,11,64.4,154,1,7.0
890,361,107,"vic",475,537,6.9,17.0,89,1289,151,3,3,26700,"Wangaratta (RC)",22.5,67,67.3,902,3,7.4
1196,471,142,"vic",632,715,6.9,20.2,116,1674,242,1,3,26730,"Warrnambool (C)",22.5,74,65.8,1211,3,6.1
1469,502,178,"vic",748,846,6.9,21.4,139,2006,315,3,3,26810,"Wellington (S)",23.8,100,59.3,1480,3,6.8
102,37,23,"vic",55,62,6.6,22.2,10,151,23,2,1,26890,"West Wimmera (S)",41.2,6,59.3,103,1,5.8
5607,2379,698,"vic",3079,3482,6.0,4.4,439,7267,249,3,3,26980,"Whitehorse (C)",22.7,315,68.3,5665,3,5.6
9061,4314,1189,"vic",5657,6398,6.4,9.6,817,12865,874,3,3,27070,"Whittlesea (C)",21.0,643,67.4,9186,3,7.0
1628,613,129,"vic",880,996,7.3,18.2,173,2360,296,1,3,27170,"Wodonga (RC)",14.7,118,61.6,1635,3,7.2
12003,5251,1616,"vic",7086,8013,6.5,9.6,1057,16170,1150,3,3,27260,"Wyndham (C)",22.8,794,65.5,12121,3,6.6
3396,1189,406,"vic",1714,1939,6.5,7.7,233,3588,260,3,3,27350,"Yarra (C)",23.7,184,61.3,3428,3,5.4
5399,2294,664,"vic",3052,3451,6.3,13.7,458,7249,742,3,3,27450,"Yarra Ranges (S)",21.7,290,66.5,5451,3,5.3
170,61,38,"vic",92,104,6.6,22.2,17,252,38,1,1,27630,"Yarriambiack (S)",41.1,10,59.3,171,1,5.8
null,null,null,"vic",null,null,null,null,null,null,null,null,null,29399,"Unincorporated Vic",null,null,null,null,null,null
71,null,null,"qld",null,null,null,40.7,null,null,29,null,null,30250,"Aurukun (S)",null,6,null,71,null,8.9
220,96,29,"qld",117,133,12.2,25.5,37,305,56,2,1,30300,"Balonne (S)",24.4,17,72.5,221,1,7.7
736,327,78,"qld",399,451,11.0,13.6,116,1052,100,1,3,30370,"Banana (S)",19.5,32,72.5,746,3,4.3
144,null,null,"qld",null,null,null,18.6,null,null,27,null,null,30410,"Barcaldine (R)",null,10,null,146,null,6.9
null,null,null,"qld",null,null,null,null,null,null,null,null,null,30450,"Barcoo (S)",null,null,null,null,null,null
99,null,null,"qld",null,null,null,18.6,null,null,18,null,null,30760,"Blackall Tambo (R)",null,7,null,100,null,6.9
1386,621,200,"qld",829,938,12.8,22.3,242,1890,309,3,3,34580,"Lockyer Valley (R)",24.1,95,66.2,1390,3,6.8
14335,6481,2321,"qld",8580,9703,12.7,18.5,2198,17282,2650,3,3,34590,"Logan (C)",27.1,989,66.8,14455,3,6.8
188,null,null,"qld",null,null,null,18.6,null,null,35,null,null,34710,"Longreach (R)",null,13,null,190,null,6.9
5317,2222,719,"qld",2792,3158,11.7,14.7,850,7283,779,3,3,34770,"Mackay (R)",25.8,287,70.4,5347,3,5.4
73,null,null,"qld",null,null,null,30.9,null,null,22,null,null,34800,"McKinlay (S)",null,6,null,73,null,8.3
743,174,61,"sa",262,296,10.3,12.4,73,713,92,3,3,40310,"Barossa (DC)",23.5,37,59.0,748,3,5.0
91,19,7,"sa",30,33,11.1,17.9,9,80,16,2,1,40430,"Barunga West (DC)",23.6,6,55.8,92,1,6.6
315,62,34,"sa",107,121,12.1,24.7,36,297,78,1,3,40520,"Berri and Barmera (DC)",31.6,22,51.0,321,3,6.8
548,251,80,"wa",283,320,5.8,8.6,51,875,47,1,3,50280,"Augusta-Margaret River (S)",28.3,27,78.4,555,3,4.9
653,355,82,"wa",401,453,6.3,10.3,62,983,67,1,3,50350,"Bassendean (T)",20.5,46,78.3,657,3,7.0
2817,1427,410,"wa",1655,1872,5.8,5.5,231,3963,156,3,3,50420,"Bayswater (C)",24.8,196,76.2,2831,3,6.9
1854,975,315,"wa",1117,1263,6.0,8.3,155,2574,153,1,3,50490,"Belmont (C)",28.2,141,77.2,1867,3,7.6
43,23,6,"wa",30,34,6.7,16.1,6,84,7,2,2,50560,"Beverley (S)",21.4,null,69.2,null,2,null
74,38,17,"wa",44,49,5.9,11.2,8,128,8,2,1,50630,"Boddington (S)",38.2,null,75.9,null,1,null
44,21,6,"wa",25,28,5.8,11.0,5,80,5,2,2,50770,"Boyup Brook (S)",22.4,null,74.2,null,1,null
119,56,15,"wa",67,76,5.8,11.0,13,218,13,1,1,50840,"Bridgetown-Greenbushes (S)",22.4,null,74.2,null,1,null
33,null,null,"wa",null,null,null,24.4,null,null,8,null,null,50910,"Brookton (S)",null,null,null,null,null,null
524,244,115,"wa",320,362,6.7,9.4,64,952,49,1,3,50980,"Broome (S)",35.9,28,67.4,530,3,5.3
43,24,8,"wa",27,30,6.0,13.8,5,79,6,2,1,51080,"Broomehill-Tambellup (S)",29.8,null,78.4,null,1,null
35,null,null,"wa",null,null,null,17.2,null,null,6,null,null,51120,"Bruce Rock (S)",null,null,null,null,null,null
1345,476,172,"wa",647,731,6.4,16.2,118,1837,218,3,3,51190,"Bunbury (C)",26.5,88,65.1,1356,3,6.5
1228,545,165,"wa",635,718,6.1,11.0,120,1984,135,3,3,51260,"Busselton (S)",26.0,57,75.8,1236,3,4.6
897,385,172,"wa",467,528,5.4,2.2,69,1296,20,1,3,51310,"Cambridge (T)",36.9,56,72.9,904,3,6.2
3350,1777,528,"wa",1963,2220,5.8,5.0,277,4813,167,3,3,51330,"Canning (C)",26.9,224,80.1,3379,3,6.6
652,306,111,"wa",337,381,5.9,12.2,64,1087,80,3,3,51400,"Capel (S)",32.9,48,80.4,651,3,7.3
null,null,null,"wa",null,null,null,null,null,null,null,null,null,51470,"Carnamah (S)",null,null,null,null,null,null
21,null,null,"qld",null,null,null,23.3,null,null,5,null,null,30900,"Boulia (S)",null,null,null,null,null,null
44910,22957,6287,"qld",26525,29999,11.0,5.5,5785,52370,2461,3,3,31000,"Brisbane (C)",23.7,2799,76.5,45428,3,6.2
36,null,null,"qld",null,null,null,40.8,null,null,15,null,null,36070,"Pormpuraaw (S)",null,null,null,null,null,null
42,null,null,"qld",null,null,null,23.3,null,null,10,null,null,36150,"Quilpie (S)",null,null,null,null,null,null
4888,2519,652,"qld",2933,3317,11.6,13.7,707,6072,669,3,3,36250,"Redland (C)",22.2,327,75.9,4932,3,6.6
57,null,null,"qld",null,null,null,30.9,null,null,18,null,null,36300,"Richmond (S)",null,5,null,57,null,8.3
5132,2079,543,"qld",2712,3067,12.6,20.1,880,6992,1030,3,3,36360,"Rockhampton (R)",20.0,348,67.8,5184,3,6.7
1179,581,169,"qld",743,841,12.2,18.9,204,1664,223,3,3,36510,"Scenic Rim (R)",22.8,80,69.1,1191,3,6.7
914,415,148,"qld",550,621,12.6,24.2,141,1123,221,3,3,36580,"Somerset (R)",26.9,74,66.8,920,3,8.0
null,null,null,"qld",null,null,null,null,null,null,null,null,null,31750,"Bulloo (S)",null,null,null,null,null,null
3191,1246,377,"qld",1667,1885,13.2,22.4,572,4326,716,3,3,31820,"Bundaberg (R)",22.6,239,66.1,3220,3,7.4
635,286,84,"qld",350,396,12.8,18.8,115,901,119,1,3,31900,"Burdekin (S)",24.1,49,72.3,642,3,7.7
35,null,null,"qld",null,null,null,30.9,null,null,11,null,null,31950,"Burke (S)",null,null,null,null,null,null
7525,3207,798,"qld",3991,4514,13.2,19.1,1337,10143,1434,3,3,32070,"Cairns (R)",20.0,535,71.0,7570,3,7.1
142,null,null,"qld",null,null,null,30.9,null,null,44,null,null,32250,"Carpentaria (S)",null,12,null,142,null,8.3
1069,419,122,"qld",562,636,13.1,24.6,190,1444,263,3,3,32260,"Cassowary Coast (R)",21.7,81,65.9,1069,3,7.6
1666,733,296,"qld",929,1050,11.0,16.0,256,2328,266,3,3,32270,"Central Highlands (R)",31.9,100,69.8,1680,3,5.9
432,187,54,"qld",234,265,12.7,19.5,78,614,84,1,1,32310,"Charters Towers (R)",23.1,39,70.7,437,3,9.0
1316,499,129,"qld",687,777,13.0,33.4,228,1749,439,3,3,36630,"South Burnett (R)",18.8,96,64.2,1326,3,7.2
1311,504,117,"qld",662,749,13.2,20.9,232,1757,274,3,3,36660,"Southern Downs (R)",17.7,91,67.4,1323,3,6.9
10192,4911,1421,"qld",5837,6602,11.9,11.2,1791,15072,1145,3,3,36710,"Sunshine Coast (R)",24.3,588,74.4,10322,3,5.7
1784,586,151,"qld",816,923,13.4,28.3,279,2089,505,3,3,36810,"Tablelands (R)",18.5,137,63.5,1796,3,7.6
6504,2826,762,"qld",3489,3946,12.3,15.3,1120,9112,996,3,3,36910,"Toowoomba (R)",21.8,455,71.6,6555,3,6.9
179,null,null,"qld",null,null,null,40.7,null,null,73,null,null,36950,"Torres (S)",null,16,null,179,null,8.9
233,null,null,"qld",null,null,null,40.7,null,null,95,null,null,36960,"Torres Strait Island (R)",null,21,null,234,null,8.9
8610,3664,778,"qld",4593,5194,12.2,12.0,1421,11649,1035,3,3,37010,"Townsville (C)",16.9,578,70.5,8672,3,6.7
3710,1620,599,"sa",2435,2754,10.6,9.7,579,5453,362,3,3,41060,"Charles Sturt (C)",24.6,251,58.8,3746,3,6.7
299,71,24,"sa",97,110,10.5,12.0,30,289,37,1,3,41140,"Clare and Gilbert Valleys (DC)",24.8,9,64.0,302,3,3.0
161,77,38,"wa",97,109,6.5,10.6,21,324,17,1,3,51540,"Carnarvon (S)",39.3,8,70.5,162,3,4.7
50,18,null,"qld",null,28,13.9,40.1,9,64,20,2,2,32330,"Cherbourg (S)",null,null,62.2,null,null,null
222,null,null,"qld",null,null,null,30.9,null,null,69,null,null,32450,"Cloncurry (S)",null,19,null,222,null,8.3
228,null,null,"qld",null,null,null,40.7,null,null,93,null,null,32500,"Cook (S)",null,20,null,229,null,8.9
16,null,null,"qld",null,null,null,40.7,null,null,7,null,null,32600,"Croydon (S)",null,null,null,null,null,null
184,null,null,"qld",null,null,null,40.7,null,null,75,null,null,37300,"Weipa (T)",null,16,null,184,null,8.9
1513,654,191,"qld",824,931,11.6,20.0,246,2124,302,3,3,37310,"Western Downs (R)",23.1,96,70.2,1520,3,6.3
1329,519,175,"qld",685,774,12.0,17.1,213,1777,227,3,3,37340,"Whitsunday (R)",25.6,86,67.0,1336,3,6.4
null,null,null,"qld",null,null,null,null,null,null,null,null,null,32750,"Diamantina (S)",null,null,null,null,null,null
1079,481,161,"sa",706,799,9.5,6.3,163,1707,68,3,3,40120,"Adelaide Hills (DC)",22.7,65,60.3,1089,3,5.9
611,142,63,"sa",223,252,10.2,14.2,61,597,86,3,3,40220,"Alexandrina (DC)",28.3,40,56.2,622,3,6.5
405,85,37,"sa",136,154,12.0,23.2,46,383,94,3,3,41560,"Copper Coast (DC)",27.2,22,55.2,407,3,5.4
null,null,null,"sa",null,null,null,null,null,null,null,null,null,41750,"Elliston (DC)",null,null,null,null,null,null
41,18,null,"wa",null,24,null,10.9,null,null,5,null,2,51610,"Chapman Valley (S)",null,null,75.0,null,null,null
88,null,null,"qld",null,null,null,30.9,null,null,27,null,null,32770,"Doomadgee (S)",null,7,null,88,null,8.3
49,null,null,"qld",null,null,null,40.7,null,null,20,null,null,33100,"Etheridge (S)",null,null,null,null,null,null
123,null,null,"qld",null,null,null,30.9,null,null,38,null,null,33200,"Flinders (S)",null,10,null,123,null,8.3
3206,1315,348,"qld",1710,1934,13.5,24.5,623,4618,785,3,3,33220,"Fraser Coast (R)",20.3,234,68.0,3232,3,7.2
2920,1369,412,"qld",1772,2005,11.5,16.1,509,4409,471,3,3,33360,"Gladstone (R)",23.2,158,68.3,2937,3,5.4
18184,9543,2929,"qld",11312,12794,11.8,10.7,3357,28417,1946,3,3,33430,"Gold Coast (C)",25.9,1154,74.6,18394,3,6.3
495,216,64,"qld",264,299,12.2,25.5,84,688,126,1,1,33610,"Goondiwindi (R)",24.4,38,72.5,497,3,7.7
1625,751,171,"qld",925,1046,13.2,24.4,329,2488,396,3,3,33620,"Gympie (R)",18.5,89,71.8,1629,3,5.5
412,178,51,"qld",222,252,12.7,19.5,74,584,80,1,1,33800,"Hinchinbrook (S)",23.1,37,70.7,416,3,9.0
54,null,null,"qld",null,null,null,40.7,null,null,22,null,null,33830,"Hope Vale (S)",null,5,null,54,null,8.9
9652,4335,1406,"qld",5874,6643,12.9,20.0,1519,11812,1929,3,3,33960,"Ipswich (C)",23.9,610,65.3,9711,3,6.3
1226,584,268,"qld",687,777,10.5,10.6,191,1821,130,1,3,33980,"Isaac (R)",39.0,64,75.2,1238,3,5.2
57,null,null,"qld",null,null,null,40.7,null,null,23,null,null,34420,"Kowanyama (S)",null,5,null,58,null,8.9
26,null,null,"qld",null,null,null,40.7,null,null,11,null,null,34570,"Lockhart River (S)",null,null,null,null,null,null
15,null,null,"qld",null,null,null,40.7,null,null,6,null,null,34830,"Mapoon (S)",null,null,null,null,null,null
667,306,106,"qld",376,425,10.9,18.2,101,928,121,1,1,34860,"Maranoa (R)",28.3,38,71.9,673,3,5.7
16638,8115,2309,"qld",10282,11629,12.3,16.4,2600,21174,2734,3,3,35010,"Moreton Bay (R)",22.5,1100,69.8,16811,3,6.5
79,null,null,"qld",null,null,null,30.9,null,null,24,null,null,35250,"Mornington (S)",null,7,null,79,null,8.3
1149,467,156,"qld",624,706,11.7,20.2,179,1534,232,1,3,35300,"Mount Isa (C)",25.0,88,66.2,1159,3,7.6
198,null,null,"qld",null,null,null,23.3,null,null,46,null,null,35600,"Murweh (S)",null,11,null,199,null,5.4
48,null,null,"qld",null,null,null,40.7,null,null,19,null,null,35670,"Napranum (S)",null,null,null,null,null,null
305,125,41,"qld",167,189,12.6,21.6,57,455,66,1,1,35760,"North Burnett (R)",24.4,27,66.4,310,3,8.8
126,null,null,"qld",null,null,null,40.7,null,null,52,null,null,35780,"Northern Peninsula Area (R)",null,11,null,127,null,8.9
84,36,10,"qld",45,51,12.7,19.5,15,118,16,2,2,35790,"Palm Island (S)",23.1,8,70.7,84,2,9.0
80,null,null,"qld",null,null,null,23.3,null,null,19,null,null,35800,"Paroo (S)",null,null,null,null,null,null
57,null,null,"qld",null,null,null,23.3,null,null,13,null,null,37400,"Winton (S)",null,null,null,null,null,null
46,null,null,"qld",null,null,null,19.6,null,null,9,null,null,37550,"Woorabinda (S)",null,null,null,null,null,null
null,null,null,"sa",null,null,null,null,null,null,null,null,null,40250,"Anangu Pitjantjatjara (AC)",null,null,null,null,null,null
15,null,null,"qld",null,null,null,40.7,null,null,6,null,null,37570,"Wujal Wujal (S)",null,null,null,null,null,null
112,34,12,"qld",54,61,14.8,35.8,20,136,40,2,2,37600,"Yarrabah (S)",22.9,12,55.3,112,1,10.4
459,127,67,"sa",208,236,10.4,3.7,49,473,17,3,3,40070,"Adelaide (C)",32.2,25,53.9,458,3,5.5
868,442,200,"sa",641,725,9.5,4.0,140,1480,35,3,3,40700,"Burnside (C)",31.2,64,61.0,880,3,7.3
1658,688,290,"sa",984,1113,9.9,6.1,224,2267,101,3,3,40910,"Campbelltown (C)",29.5,100,61.8,1666,3,6.0
96,null,null,"sa",null,null,null,12.6,null,null,12,null,null,41010,"Ceduna (DC)",null,8,null,97,null,8.2
74,18,6,"sa",26,30,9.2,8.3,6,63,6,2,1,41190,"Cleve (DC)",21.9,null,59.6,null,1,null
40,null,null,"sa",null,null,null,25.0,null,null,10,null,null,41330,"Coober Pedy (DC)",null,null,null,null,null,null
37,12,5,"sa",22,24,12.0,16.3,7,59,6,2,2,41830,"Flinders Ranges (DC)",22.2,null,47.6,null,2,null
null,13,null,"sa",null,22,null,null,null,null,null,null,1,41960,"Franklin Harbour (DC)",null,null,59.6,null,null,null
994,204,59,"sa",326,369,11.7,16.7,100,859,166,1,3,44620,"Mount Gambier (C)",18.1,69,55.2,995,3,6.9
65,14,8,"sa",19,21,12.3,20.3,7,61,13,2,1,44830,"Mount Remarkable (DC)",42.4,null,65.0,null,1,null
760,274,93,"sa",486,550,11.5,19.0,130,1129,144,3,3,42030,"Gawler (T)",19.1,41,49.8,765,3,5.4
113,24,11,"sa",38,43,11.0,28.9,12,108,33,1,1,42110,"Goyder (DC)",28.5,12,54.9,116,1,10.3
256,61,22,"sa",96,108,10.5,13.0,27,255,33,1,1,42250,"Grant (DC)",22.7,12,56.3,255,1,4.6
657,136,27,"sa",241,273,12.1,23.9,79,655,157,1,3,45040,"Murray Bridge (RC)",11.2,35,49.8,664,1,5.3
979,306,95,"sa",521,590,10.2,7.8,123,1202,76,1,3,42600,"Holdfast Bay (C)",18.2,65,51.9,991,3,6.6
143,35,5,"sa",48,54,9.7,18.2,13,134,26,1,3,42750,"Kangaroo Island (DC)",10.4,11,64.6,146,2,7.5
null,8,null,"sa",null,13,null,null,null,null,null,null,2,43080,"Karoonda East Murray (DC)",null,null,59.8,null,null,null
255,48,19,"sa",69,78,10.0,18.0,19,186,46,1,1,47630,"Tatiara (DC)",27.0,14,61.7,257,1,5.4
null,11,null,"sa",null,18,null,null,null,null,null,null,1,43220,"Kimba (DC)",null,null,59.6,null,null,null
69,17,6,"sa",24,27,10.0,16.2,6,65,11,2,1,43360,"Kingston (DC)",27.0,null,61.7,null,1,null
479,140,54,"sa",227,257,10.2,11.8,60,584,57,1,3,43650,"Light (RegC)",23.7,32,54.7,487,3,6.7
162,null,null,"sa",null,null,null,13.5,null,null,22,null,null,43710,"Lower Eyre Peninsula (DC)",null,8,null,164,null,5.1
392,77,37,"sa",122,138,12.0,18.2,36,300,71,1,3,43790,"Loxton Waikerie (DC)",30.6,32,56.0,395,3,8.1
289,86,42,"sa",141,160,10.3,18.3,38,363,53,1,3,43920,"Mallala (DC)",29.6,15,54.0,291,3,5.2
3289,1464,500,"sa",2052,2321,10.5,8.2,476,4515,269,3,3,44060,"Marion (C)",24.4,214,63.1,3311,3,6.5
206,46,21,"sa",75,84,10.4,17.6,20,196,36,1,3,44210,"Mid Murray (DC)",28.1,12,54.8,206,1,5.8
1981,883,265,"sa",1240,1402,9.6,3.9,282,2955,77,3,3,44340,"Mitcham (C)",21.4,114,63.0,1996,3,5.7
1189,501,154,"sa",789,892,9.9,12.8,183,1841,152,3,3,44550,"Mount Barker (DC)",19.5,59,56.1,1200,3,4.9
3389,1462,581,"sa",2124,2402,10.6,10.0,518,4877,340,3,3,47700,"Tea Tree Gully (C)",27.3,221,60.9,3444,3,6.4
300,71,27,"sa",97,109,10.3,18.7,25,243,56,1,3,45090,"Naracoorte and Lucindale (DC)",28.0,25,65.0,304,3,8.2
157,32,18,"sa",50,57,10.0,15.7,13,133,25,1,1,45120,"Northern Areas (DC)",35.5,9,55.7,158,1,5.6
1123,436,169,"sa",707,800,9.9,3.6,159,1612,40,3,3,45290,"Norwood Payneham St Peters (C)",23.9,61,54.5,1124,3,5.4
6124,2415,1038,"sa",3860,4365,11.2,14.7,1001,8913,902,3,3,45340,"Onkaparinga (C)",26.9,412,55.3,6168,3,6.7
null,null,null,"sa",null,null,null,null,null,null,null,null,null,45400,"Orroroo/Carrieton (DC)",null,null,null,null,null,null
167,42,19,"sa",62,70,9.8,24.6,16,164,41,1,3,47800,"The Coorong (DC)",31.3,9,60.0,171,1,5.3
80,null,null,"sa",null,null,null,12.2,null,null,10,null,null,47910,"Tumby Bay (DC)",null,null,null,null,null,null
39,8,5,"sa",11,13,null,20.3,null,null,8,null,1,45540,"Peterborough (DC)",42.5,null,65.2,null,1,null
4510,1368,507,"sa",2824,3194,13.7,24.1,886,6445,1089,3,3,45680,"Playford (C)",18.0,344,42.8,4546,3,7.6
4899,2037,694,"sa",3058,3459,11.1,9.5,753,6809,467,3,3,45890,"Port Adelaide Enfield (C)",22.7,357,58.9,4949,3,7.2
449,96,40,"sa",178,201,12.0,21.9,58,484,98,1,1,46090,"Port Augusta (C)",22.2,34,47.6,453,3,7.4
559,112,49,"sa",201,227,11.1,17.1,58,525,95,1,3,46300,"Port Lincoln (C)",24.5,31,49.4,566,3,5.4
590,116,57,"sa",189,214,11.8,27.2,59,499,160,1,3,46450,"Port Pirie City and Dists (M)",30.2,34,54.4,590,3,5.8
667,307,101,"sa",433,489,9.9,3.1,95,960,21,1,3,46510,"Prospect (C)",23.3,46,62.8,678,3,6.8
303,67,36,"sa",114,129,12.1,24.1,34,284,73,1,3,46670,"Renmark Paringa (DC)",31.2,16,52.2,303,3,5.3
42,10,null,"sa",null,17,null,16.2,null,null,7,null,2,46860,"Robe (DC)",null,null,61.7,null,null,null
248,70,16,"sa",100,113,8.9,9.2,21,236,23,1,3,46970,"Roxby Downs (M)",16.0,10,61.9,250,1,4.0
5887,2261,993,"sa",3698,4182,11.9,15.5,983,8280,910,3,3,47140,"Salisbury (C)",26.9,441,54.1,5949,3,7.4
63,16,7,"sa",23,26,9.8,13.1,6,62,8,2,1,47290,"Southern Mallee (DC)",31.3,null,60.0,null,1,null
49,null,null,"sa",null,null,null,10.9,null,null,5,null,null,47490,"Streaky Bay (DC)",null,null,null,null,null,null
1212,487,141,"sa",728,824,9.4,4.0,162,1721,48,3,3,47980,"Unley (C)",19.4,93,59.1,1231,3,7.6
309,65,21,"sa",107,121,10.7,13.5,33,304,42,1,1,48050,"Victor Harbor (C)",19.8,20,53.6,312,1,6.4
247,51,19,"sa",80,91,11.1,17.9,24,216,44,1,1,48130,"Wakefield (DC)",23.4,17,55.8,250,3,6.7
58,null,null,"sa",null,null,null,8.6,null,null,5,null,null,48640,"Wudinna (DC)",null,5,null,58,null,8.4
null,108,35,"sa",152,172,9.9,null,33,337,null,2,1,48260,"Walkerville (M)",23.3,10,62.8,169,3,5.9
377,86,32,"sa",128,145,10.8,21.8,33,308,82,1,3,48340,"Wattle Range (DC)",25.1,30,59.5,381,3,7.9
2033,867,263,"sa",1276,1443,10.0,5.8,290,2899,117,3,3,48410,"West Torrens (C)",20.6,141,60.1,2051,3,6.9
832,150,82,"sa",305,345,12.4,26.5,95,768,220,1,1,48540,"Whyalla (C)",27.0,69,43.5,843,3,8.2
101,21,7,"sa",34,38,10.7,22.6,10,96,23,2,2,48750,"Yankalilla (DC)",19.8,null,53.7,null,2,null
250,63,33,"sa",94,106,11.3,13.2,29,256,33,1,3,48830,"Yorke Peninsula (DC)",35.1,7,59.2,248,3,2.8
76,null,null,"sa",null,null,null,14.3,null,null,11,null,null,49399,"Unincorporated SA",null,6,null,76,null,8.2
1123,496,128,"wa",584,660,6.3,12.5,115,1832,140,3,3,50080,"Albany (C)",21.9,70,75.1,1129,3,6.2
3702,1852,596,"wa",2454,2775,6.4,13.9,377,5912,514,3,3,50210,"Armadale (C)",24.3,241,66.7,3742,3,6.4
294,null,null,"wa",null,null,null,5.8,null,null,17,null,null,50250,"Ashburton (S)",null,10,null,299,null,3.3
132,65,22,"wa",81,91,5.9,12.1,14,244,16,1,1,51680,"Chittering (S)",27.6,5,71.0,134,3,3.7
235,133,55,"wa",150,170,5.4,3.1,21,388,7,2,1,51750,"Claremont (T)",36.7,20,78.3,242,3,8.3
4619,2618,711,"wa",2857,3231,5.8,7.5,412,7063,345,3,3,51820,"Cockburn (C)",24.9,315,81.0,4664,3,6.7
314,131,34,"wa",160,181,6.6,22.3,31,467,70,1,3,51890,"Collie (S)",21.3,24,72.6,313,3,7.7
147,null,null,"wa",null,null,null,20.6,null,null,30,null,null,51960,"Coolgardie (S)",null,7,null,148,null,5.0
31,13,null,"wa",null,17,null,17.3,null,null,5,null,2,52030,"Coorow (S)",null,null,74.0,null,null,null
null,111,48,"wa",126,142,5.5,null,18,321,null,2,1,52170,"Cottesloe (T)",38.2,13,78.3,213,3,6.3
41,22,8,"wa",25,29,null,13.8,null,null,6,null,1,52240,"Cranbrook (S)",29.8,null,78.4,null,1,null
31,null,null,"wa",null,null,null,15.2,null,null,5,null,null,52310,"Cuballing (S)",null,null,null,null,null,null
38,20,7,"wa",22,25,null,24.4,null,null,9,null,1,52100,"Corrigin (S)",31.7,null,80.7,null,1,null
null,null,null,"wa",null,null,null,null,null,null,null,null,null,52380,"Cue (S)",null,null,null,null,null,null
41,20,8,"wa",23,26,null,20.5,null,null,8,null,2,52450,"Cunderdin (S)",32.6,null,74.8,null,2,null
51,18,7,"wa",23,26,null,14.4,null,null,7,null,2,52520,"Dalwallinu (S)",29.9,5,70.3,51,1,10.2
110,47,16,"wa",58,66,5.9,14.8,10,175,16,2,1,52590,"Dandaragan (S)",27.6,6,71.0,110,1,5.9
560,233,69,"wa",306,346,5.9,12.8,54,930,71,1,3,52660,"Dardanup (S)",22.7,38,67.3,566,3,6.8
